id,State_Group,State,Year,diabetic,Metformin,pancreas,diabetes,Insulin,cataract,glucose,Diabetes mellitus,Retinopathy,hypoglycemia,diabetes type 2,a1c,neuropathy,diabetes symptoms,Income,Insurance,Poverty,GT
152,G,WY,‘2014’,54,84,100,84,81,58,70,56,18,97,45,47,66,91,57080,12,11.2,8.4
153,A,AL,‘2013’,80,89,76,96,83,94,82,54,58,71,93,68,94,86,42849,13.6,18.7,13.8
154,A,AK,‘2013’,39,56,41,83,57,85,73,48,10,54,71,88,38,93,72237,18.5,9.3,7.1
155,A,AZ,‘2013’,62,72,70,84,71,84,77,49,44,77,70,56,81,76,48510,17.1,18.6,10.7
156,A,AR,‘2013’,87,93,81,93,80,98,86,35,83,88,83,75,79,96,40511,16,19.7,11.5
157,A,CA,‘2013’,45,51,62,74,59,67,73,41,50,53,66,51,51,73,60190,17.2,16.8,10.2
158,A,CO,‘2013’,40,61,60,71,65,67,69,37,27,60,64,46,65,74,58823,14.1,13,6.5
159,A,CT,‘2013’,44,57,66,83,71,86,76,40,79,59,71,54,65,66,67098,9.4,10.7,8.3
160,A,DE,‘2013’,60,58,86,98,83,92,93,69,99,71,100,46,71,95,57846,9.1,12.4,11.1
161,B,DC,‘2013’,41,50,43,77,57,61,66,25,44,53,64,64,51,73,67572,6.7,18.9,7.8
162,B,FL,‘2013’,56,72,66,78,67,84,70,54,53,54,68,57,71,71,46036,20,17,11.2
163,B,GA,‘2013’,52,72,58,74,60,60,68,35,44,61,67,62,55,82,47829,18.8,19,10.8
164,B,HI,‘2013’,50,50,71,86,55,81,74,64,75,49,79,52,42,89,68020,6.7,10.8,8.4
165,B,ID,‘2013’,61,86,74,89,93,76,80,68,43,81,89,68,81,90,46783,16.2,15.6,8.4
166,B,IL,‘2013’,49,63,59,77,64,64,71,39,46,58,65,54,58,80,56210,12.7,14.7,9.9
167,B,IN,‘2013’,67,80,78,94,94,78,95,70,52,69,96,68,67,89,47529,14,15.9,11
168,B,IA,‘2013’,61,69,68,88,69,66,82,58,44,71,93,67,66,100,52229,8.1,12.7,9.3
169,C,KS,‘2013’,60,78,66,84,71,55,74,58,41,54,77,81,69,83,50972,12.3,14,9.6
170,C,KY,‘2013’,85,89,80,92,85,73,86,44,72,79,90,93,82,92,43399,14.3,18.8,10.6
171,C,LA,‘2013’,65,92,66,85,79,72,79,53,51,93,82,75,74,95,44164,16.6,19.8,11.6
172,C,ME,‘2013’,56,67,60,97,80,100,78,32,68,78,100,65,75,65,46974,11.2,14,9.7
173,C,MD,‘2013’,53,63,74,91,74,76,85,43,67,61,75,80,66,79,72483,10.2,10.1,9.8
174,C,MA,‘2013’,43,59,66,83,71,71,79,35,65,57,65,64,63,77,66768,3.7,11.9,8.5
175,C,MI,‘2013’,57,65,64,82,73,70,78,51,62,67,68,61,69,79,48273,11,17,10.4
176,C,MN,‘2013’,51,66,71,83,76,75,84,43,60,68,88,69,75,85,60702,8.2,11.2,7.4
177,D,MS,‘2013’,71,79,71,92,67,78,74,79,47,68,75,63,70,93,37963,17.1,24,12.9
178,D,MO,‘2013’,58,72,75,84,79,66,79,45,61,70,77,69,74,97,46931,13,15.9,9.6
179,D,MT,‘2013’,54,56,76,89,88,96,85,100,71,59,71,62,88,76,46972,16.5,16.5,7.7
180,D,NE,‘2013’,55,73,55,92,78,72,76,86,90,55,76,73,74,82,51440,11.3,13.2,9.2
181,D,NV,‘2013’,54,67,56,75,61,66,65,39,59,66,65,54,67,91,51230,20.7,15.8,9.6
182,D,NH,‘2013’,52,55,80,86,69,86,89,50,87,65,64,54,64,78,64230,10.7,8.7,9.2
183,D,NJ,‘2013’,47,59,62,83,65,79,73,45,52,53,69,63,59,71,70165,13.2,11.4,9.2
184,D,NM,‘2013’,64,79,68,99,81,82,81,71,100,84,91,79,71,88,43872,18.6,21.9,10.7
185,E,NY,‘2013’,42,61,64,74,59,69,65,40,48,51,65,53,52,66,57369,10.7,16,10.6
186,E,NC,‘2013’,59,74,60,85,73,76,75,45,55,72,84,72,69,84,45906,15.6,17.9,11.4
187,E,ND,‘2013’,55,85,49,92,89,71,85,71,49,81,76,57,73,93,55759,10.4,11.8,8.9
188,E,OH,‘2013’,62,76,68,89,81,73,85,58,66,63,84,81,71,79,48081,11,16,10.4
189,E,OK,‘2013’,69,91,64,88,77,72,87,41,72,90,81,64,75,91,45690,17.7,16.8,11
190,E,OR,‘2013’,37,39,59,67,49,57,54,46,40,47,47,53,48,56,50251,14.7,16.7,9.2
191,E,PA,‘2013’,57,73,76,89,78,83,84,48,62,65,76,62,73,84,52007,9.7,13.7,10.1
192,E,RI,‘2013’,55,92,65,81,67,100,78,36,48,60,65,46,76,81,55902,11.6,14.3,9.3
193,F,SC,‘2013’,63,78,71,89,75,91,76,44,48,64,96,85,75,91,44163,15.8,18.6,12.5
194,F,SD,‘2013’,64,68,95,97,100,65,100,88,37,100,76,65,72,82,48947,11.3,14.2,9.1
195,F,TN,‘2013’,74,87,81,91,89,83,84,48,64,68,88,77,93,92,44297,13.9,17.8,12.2
196,F,TX,‘2013’,59,69,64,79,64,64,68,45,54,62,66,62,56,80,51704,22.1,17.5,11
197,F,UT,‘2013’,46,73,69,85,75,64,72,34,29,71,70,47,57,90,59770,14,12.7,7.1
198,F,VT,‘2013’,55,66,52,76,59,71,81,40,69,73,44,72,63,87,52578,7.2,12.3,7.8
199,F,VA,‘2013’,53,67,67,84,63,68,75,43,36,60,71,58,60,88,62666,12.3,11.7,9.8
200,F,WA,‘2013’,44,52,55,78,64,80,74,34,42,67,63,63,57,81,58405,14,14.1,8.6
201,G,WV,‘2013’,100,100,100,100,99,81,96,72,55,83,92,100,100,93,41253,14,18.5,13
202,G,WI,‘2013’,55,62,57,83,76,72,87,42,40,64,77,55,65,89,51467,9.1,13.5,8.2
203,G,WY,‘2013’,56,55,65,89,86,78,65,46,39,76,75,30,47,80,58752,13.4,10.9,8.6
204,A,AL,‘2012’,69,100,87,94,80,82,70,38,45,66,61,86,71,84,42154,13.3,19,12.3
205,A,AK,‘2012’,59,54,90,85,60,89,61,41,19,59,55,89,43,66,68577,20.5,10.1,7
206,A,AZ,‘2012’,58,64,72,85,79,78,73,38,33,77,52,100,61,79,48520,17.6,18.7,10.6
207,A,AR,‘2012’,88,89,71,90,76,74,78,53,60,99,48,79,76,79,40575,16.4,19.8,11.3
208,A,CA,‘2012’,46,50,66,71,56,66,66,33,38,55,47,75,42,65,59184,17.9,17,9.8
209,A,CO,‘2012’,42,60,68,70,59,63,63,30,30,69,53,72,53,65,57430,14.7,13.7,7.4
210,A,CT,‘2012’,49,66,89,77,63,79,72,40,31,67,42,72,54,57,68181,9.1,10.7,9.2
211,A,DE,‘2012’,58,71,91,86,64,81,82,32,20,66,65,72,52,60,59025,8.8,12,9.6
212,B,DC,‘2012’,44,55,62,75,51,52,56,21,30,58,44,67,35,78,67000,5.9,18.2,8.2
213,B,FL,‘2012’,56,70,85,75,66,82,67,36,44,68,48,63,58,67,45578,20.1,17.1,11.4
214,B,GA,‘2012’,52,72,64,74,60,57,61,29,33,58,47,62,44,71,47811,18.4,19.2,9.9
215,B,HI,‘2012’,52,54,73,79,56,90,70,37,39,58,46,61,42,70,67053,6.9,11.6,7.8
216,B,ID,‘2012’,64,64,72,87,88,77,73,53,30,54,65,61,62,79,46086,16.2,15.9,8.5
217,B,IL,‘2012’,50,61,73,73,61,62,63,28,43,55,51,61,46,76,55769,12.8,14.7,9.4
218,B,IN,‘2012’,72,76,90,94,90,83,85,44,68,81,68,60,62,81,47541,14.3,15.6,10.9
219,B,IA,‘2012’,63,54,85,86,78,66,77,46,74,79,60,60,64,72,51509,8.4,12.7,9.7
220,C,KS,‘2012’,68,77,67,83,76,70,76,34,41,96,60,59,56,89,50749,12.6,14,9.4
221,C,KY,‘2012’,69,76,84,87,87,82,71,50,41,87,62,59,68,80,42230,13.9,19.4,10.7
222,C,LA,‘2012’,62,82,97,81,80,67,68,34,42,91,58,58,68,75,43660,16.9,19.9,12.3
223,C,ME,‘2012’,61,50,100,95,76,100,77,55,36,79,65,56,68,83,47330,10.2,14.7,9.7
224,C,MD,‘2012’,54,62,80,88,73,76,78,46,49,64,56,55,51,72,71818,10.3,10.3,10.2
225,C,MA,‘2012’,45,59,74,80,70,69,69,27,52,61,46,55,51,68,66025,3.9,11.9,8.3
226,C,MI,‘2012’,59,63,73,76,66,65,67,32,45,71,52,54,54,67,47447,11.4,17.4,10.5
227,C,MN,‘2012’,54,61,72,79,74,73,76,42,47,63,54,54,60,84,59747,8,11.4,7.3
228,D,MS,‘2012’,84,92,78,100,82,61,78,68,26,87,57,54,68,93,37479,17,24.2,12.5
229,D,MO,‘2012’,60,66,90,80,74,66,75,34,31,80,54,53,58,74,45919,13.6,16.2,10.7
230,D,MT,‘2012’,47,47,79,86,81,81,82,55,100,80,77,53,50,60,45588,18,15.5,7.2
231,D,NE,‘2012’,61,63,77,91,74,79,77,59,48,67,71,52,63,82,51161,11.3,13,8.1
232,D,NV,‘2012’,57,56,77,75,58,61,62,36,28,70,57,52,47,71,50343,22.2,16.4,8.9
233,D,NH,‘2012’,50,57,94,82,74,82,81,34,31,89,50,51,68,74,64187,10.6,10,9.1
234,D,NJ,‘2012’,47,59,71,83,64,73,67,31,34,57,45,51,48,64,70442,12.7,10.8,9.3
235,D,NM,‘2012’,63,79,81,91,83,98,80,38,69,65,72,51,42,78,43423,18.4,20.8,10.3
236,E,NY,‘2012’,42,56,74,70,57,64,58,30,38,55,43,51,46,58,57096,10.9,15.9,9.7
237,E,NC,‘2012’,62,75,68,81,69,73,68,36,42,69,54,51,61,73,45684,16.6,18,10.4
238,E,ND,‘2012’,67,67,78,85,83,84,83,27,61,74,100,50,51,82,54647,10,11.2,8.6
239,E,OH,‘2012’,67,69,79,86,80,69,81,38,40,67,59,48,62,73,47454,11.5,16.3,11.7
240,E,OK,‘2012’,70,80,80,90,77,87,76,42,44,81,68,48,58,100,44903,18.4,17.2,11.5
241,E,OR,‘2012’,54,49,64,84,66,79,76,26,66,71,52,48,57,77,49845,14.9,17.2,9.9
242,E,PA,‘2012’,56,67,80,85,77,80,80,37,51,73,59,47,59,74,51824,9.8,13.7,10.2
243,E,RI,‘2012’,52,68,63,82,63,82,73,29,59,87,48,47,57,69,55274,11.1,13.7,9.8
244,F,SC,‘2012’,74,76,76,84,66,82,69,43,38,84,67,47,67,84,43792,16.8,18.3,11.6
245,F,SD,‘2012’,76,50,86,100,100,78,100,57,78,100,69,45,65,99,48956,11.5,13.4,7.8
246,F,TN,‘2012’,80,94,88,92,92,84,84,40,62,94,56,45,83,77,43504,13.9,17.9,11.9
247,F,TX,‘2012’,58,66,75,76,62,61,63,33,35,64,47,45,47,79,51198,22.5,17.9,10.6
248,F,UT,‘2012’,56,69,81,81,72,63,70,47,38,89,55,45,52,71,57841,14.5,12.8,7.2
249,F,VT,‘2012’,46,59,56,72,61,69,76,31,34,65,36,44,57,64,53677,6.5,11.8,7.3
250,F,VA,‘2012’,58,68,66,83,60,73,71,36,39,66,52,42,53,81,62479,12.5,11.7,10.6
251,F,WA,‘2012’,49,50,67,73,64,80,67,34,41,75,53,39,47,71,58368,13.9,13.5,8.8
252,G,WV,‘2012’,100,90,79,97,97,67,94,50,90,90,46,38,100,74,40555,14.4,17.8,13
253,G,WI,‘2012’,54,68,70,81,75,73,75,33,43,66,59,33,57,78,51649,9,13.2,8.3
254,G,WY,‘2012’,65,72,47,80,57,82,75,100,100,80,99,27,65,54,55569,15.4,12.6,9.1
255,A,AL,‘2011’,87,77,73,93,81,73,71,56,42,58,67,54,81,84,42116,13,19,11.8
256,A,AK,‘2011’,56,56,76,89,57,71,69,32,29,81,93,59,53,74,69519,18.2,10.5,7.9
257,A,AZ,‘2011’,72,55,76,88,79,76,71,52,40,66,65,56,73,66,47493,17.3,19,9.5
258,A,AR,‘2011’,100,73,75,100,84,63,61,43,51,100,65,52,76,87,39469,17.5,19.5,11.2
259,A,CA,‘2011’,53,44,63,72,57,55,62,36,44,49,57,41,47,57,58509,17.9,16.6,8.9
260,A,CO,‘2011’,47,45,59,69,63,54,60,40,31,62,59,52,55,64,56443,15.7,13.5,6.7
261,A,CT,‘2011’,58,54,61,80,74,60,70,39,49,59,64,41,75,63,67223,8.1,10.9,9.3
262,A,DE,‘2011’,69,78,68,91,69,60,73,39,72,53,70,53,67,82,60216,10.8,11.9,9.7
263,B,DC,‘2011’,48,46,61,74,52,51,53,29,42,49,57,56,42,68,64486,7.9,18.7,9.1
264,B,FL,‘2011’,69,63,81,78,68,73,67,46,46,55,58,49,71,64,45169,21.5,17,10.4
265,B,GA,‘2011’,69,63,72,79,63,48,59,33,39,55,53,51,48,72,46731,19.2,19.1,10.2
266,B,HI,‘2011’,62,60,66,84,61,65,68,57,37,40,69,66,46,58,63218,7.8,12,8.4
267,B,ID,‘2011’,66,61,71,86,91,77,72,25,36,95,57,66,55,88,44360,16.9,16.5,9.4
268,B,IL,‘2011’,60,59,70,78,65,60,62,34,49,57,56,47,58,61,54371,14.7,15,9.7
269,B,IN,‘2011’,90,73,76,94,97,66,78,58,52,65,76,67,63,67,47214,12,16,10.2
270,B,IA,‘2011’,78,69,69,87,77,68,65,49,69,80,70,61,57,59,50366,10,12.8,8.2
271,C,KS,‘2011’,69,52,72,83,79,72,70,47,64,66,54,80,71,75,49952,13.5,13.8,9.5
272,C,KY,‘2011’,92,81,66,90,95,70,77,50,61,77,64,80,69,70,41784,14.4,19.1,10.8
273,C,LA,‘2011’,79,92,60,90,91,62,70,71,40,74,69,66,79,72,42303,20.8,20.4,11.8
274,C,ME,‘2011’,65,58,95,94,91,66,69,52,69,57,79,61,58,52,46811,10,14.1,9.6
275,C,MD,‘2011’,75,56,74,91,75,62,74,45,67,47,65,58,61,67,71298,13.8,10.1,9.5
276,C,MA,‘2011’,54,52,69,84,72,63,65,38,37,56,64,47,63,54,64311,3.4,11.6,8
277,C,MI,‘2011’,68,63,77,78,76,63,65,49,51,64,60,43,61,63,46754,12.5,17.5,10
278,C,MN,‘2011’,61,52,66,82,75,60,73,42,45,64,60,54,64,63,58109,9.2,11.9,7.3
279,D,MS,‘2011’,99,89,78,98,83,58,76,34,41,67,98,61,81,100,37515,16.2,22.6,12.4
280,D,MO,‘2011’,82,64,75,85,77,68,72,45,80,59,65,68,80,67,46048,14.9,15.8,10.2
281,D,MT,‘2011’,64,67,55,93,74,77,73,24,59,86,76,60,80,61,45206,18.3,14.8,8
282,D,NE,‘2011’,71,72,67,89,86,55,75,64,46,73,83,44,51,70,51209,12.3,13.1,8.4
283,D,NV,‘2011’,65,43,57,74,62,68,56,42,45,47,56,41,45,56,49965,22.6,15.9,10.3
284,D,NH,‘2011’,70,56,68,87,70,62,65,36,29,63,76,54,66,70,64115,12.5,8.8,8.6
285,D,NJ,‘2011’,64,56,74,84,72,67,67,36,53,47,60,56,57,63,68962,15.4,10.4,8.8
286,D,NM,‘2011’,85,63,88,98,84,80,88,47,31,69,85,74,80,92,42728,19.6,21.5,10
287,E,NY,‘2011’,50,48,67,69,58,55,55,34,49,49,44,40,48,56,56343,12.2,16,10.5
288,E,NC,‘2011’,75,67,74,83,73,63,65,47,55,61,71,66,65,68,44763,16.3,17.9,10.9
289,E,ND,‘2011’,78,100,100,91,96,66,79,100,73,62,61,74,72,56,52763,9.1,12.2,8.2
290,E,OH,‘2011’,73,65,76,88,80,60,71,47,61,64,61,56,66,73,46610,13.7,16.4,10
291,E,OK,‘2011’,99,79,58,89,81,64,75,51,57,92,73,62,80,58,44078,16.9,17.2,11.1
292,E,OR,‘2011’,66,50,71,81,69,72,66,43,51,68,63,55,66,64,47576,13.8,17.5,9.3
293,E,PA,‘2011’,69,62,71,88,81,75,70,48,70,62,61,55,70,62,51032,10.8,13.8,9.5
294,E,RI,‘2011’,49,41,70,85,63,63,60,57,28,62,58,52,43,61,54810,12,14.7,8.4
295,F,SC,‘2011’,83,73,74,90,76,72,69,73,63,68,79,65,66,89,43163,19,18.9,12.1
296,F,SD,‘2011’,84,46,85,100,99,97,80,60,54,71,100,47,85,89,49435,13,13.9,9.5
297,F,TN,‘2011’,99,90,85,98,96,84,74,62,100,80,68,67,91,77,42320,13.3,18.3,11.2
298,F,TX,‘2011’,67,59,66,78,64,52,59,45,44,60,54,51,49,67,50355,23.8,18.5,10.2
299,F,UT,‘2011’,67,66,81,88,75,57,67,29,77,59,79,45,66,79,56763,14.6,13.5,6.7
300,F,VT,‘2011’,39,41,87,77,81,70,60,9,63,54,50,82,58,63,53841,8.6,11.5,7.7
301,F,VA,‘2011’,65,61,62,83,63,63,62,38,39,66,65,57,54,69,63147,13.4,11.5,10.4
302,F,WA,‘2011’,56,48,65,76,68,72,62,36,37,65,64,59,60,63,57949,14.5,13.9,8.9
303,G,WV,‘2011’,98,70,71,94,100,85,100,84,85,100,74,100,100,79,39301,14.9,18.6,12
304,G,WI,‘2011’,63,60,67,85,79,70,76,37,78,62,68,62,65,63,51318,10.4,13.1,8.4
305,G,WY,‘2011’,67,66,58,81,77,100,69,49,52,66,31,87,69,88,57291,17.8,11.3,8.2